Unique ID,broadperiod,period,thickness,diameter,weight,axis,Primary material,axis_known,Manufacture method,Primary Material_n,URL,Manufacture Method_n,Image URL,Saved Image,length,height,width,obverseDescription,reverseDescription,obverseLegend,reverseLegend,reverseType,regionName,cultureName,inscription,objectCertainty,rulerName,mintName,denominationName,tribeName,categoryTerm,moneyerName
PUBLIC-5930C8,MEDIEVAL,4,0.83,26.2,2.7,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/528007,8,https://finds.org.uk/images/clivenobbs/medium/EIV Groat.jpg,PUBLIC-5930C8.jpg,,,,Crowned bust facing within a tressure of nine arches; fleurs on cusps; fleur on breast,"Long cross patt?e dividing legend in two circles; three pellets in each angle, an extra pellet in one angle below CIVI.","EDWARD DI GRA REX [ANG]L Z FRANC, saltire stops",POSVI/ DEVm A/DIVTOR/E' mEVm; CIVI/TAS/ LOn/DOn,,South East,,,Certain,Edward IV of England (first reign),London,Groat,,English coin Late Medieval 1377 - 1489,
IOW-6742F5,MEDIEVAL,4,,16.5,0.76,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/202456,8,https://finds.org.uk/images/fbasford/medium/IOW2007-1-593.JPG,IOW-6742F5.png,,,,Crowned bust facing (the drapery is not wedged),Long cross dividing the inscription with three pellets in each quadrant,Illegible,Illegible,,South East,,,Certain,,,Penny,,English coin Edwardian type 1279 - 1377,
IOW-C1EF84,MEDIEVAL,4,,21.0,1.7,9.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/201193,8,https://finds.org.uk/images/fbasford/medium/IOW2007-1-568.JPG,IOW-C1EF84.png,,,,Crowned bust facing with annulets by neck,Long cross dividing the inscription with three pellets in each quadrant. Annulet in two opposite quadrants,hENRIC DI GRA REX ANG[],Outer: POSVI(annulet)/DEVM/ADIVT/ORE MInner: VIL/LA/CAL/IS,,South East,,,Certain,Henry VI of England (first reign),Calais,Half groat,,English coin Late Medieval 1377 - 1489,
IOW-B4D566,MEDIEVAL,4,,25.0,4.23,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/131586,8,https://finds.org.uk/images/fbasford/medium/IOW2006-40-53.JPG,IOW-B4D566.png,,,,Crowned bust facing within a tressure of nine arches,Long cross dividing the legends. Three pellets in each quarter,EDWARD D G REX ANGL Z FRANC D HYB,Outer: POSVI DEVM ADIVTOREM MEVInner: CIVI TAS LON DON,,South East,,,Certain,Edward III of England,London,Groat,,English coin Edwardian type 1279 - 1377,
IOW-C100F1,MEDIEVAL,4,,17.5,0.79,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/201181,8,https://finds.org.uk/images/fbasford/medium/IOW2007-1-566.JPG,IOW-C100F1.png,,,,Crowned bust facing without sceptre (pellets in curls),Voided long cross dividing the inscription with three pellets in each quadrant,[]REX III,ONL/INC (O and N ligated),,South East,,,Certain,Henry III of England,Lincoln,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
BERK-381211,MEDIEVAL,4,0.97,18.08,1.4,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/614476,8,https://finds.org.uk/images/abyard/medium/20131061.jpg,BERK-381211.jpg,,,,"Crowned bust facing, within triangle",Voided long cross with three pellets in each quarter,hENRICVS REX III,DAVI ON DIVELI,,South East,,,Certain,Henry III of England,Dublin,Penny,,,
LEIC-F43B14,MEDIEVAL,4,1.0,18.0,1.33,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/235834,8,https://finds.org.uk/images/wscott/medium/F43B14.JPG,LEIC-F43B14.png,,,,facing crowned bust in triangular border,long cross and pellets,.EDW.RANGL.DNS.HYB,CIVITASDVBLINIE,,East Midlands,,,Certain,Edward I of England,Dublin,Penny,,Non English coin,
LEIC-14F6A7,MEDIEVAL,4,0.5,11.0,0.25,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/278733,8,https://finds.org.uk/images/wscott/medium/14F6A7.JPG,LEIC-14F6A7.png,,,,facing crowned bust,long cross and pellets,EDWARDVSREX A?,CI[VITAS]LONDON,,East Midlands,,,Certain,Edward III of England,London,Farthing,,English coin Edwardian type 1279 - 1377,
SUR-674167,MEDIEVAL,4,,17.54,1.33,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/583941,8,https://finds.org.uk/images/margaretb/medium/13-1022.JPG,SUR-674167.png,,,,,,HENRIC[VS] R[EX III],S[TEPHE]/ON:I/VEL/,,Eastern,,,Certain,Henry III of England,Ilchester,Penny,,English coin short and long cross period 1180 - 1278,
LANCUM-BFCEF5,MEDIEVAL,4,0.5,26.0,2.9,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/537926,8,https://finds.org.uk/images/dboughton/medium/LVMDIGBFCEF5.jpg,LANCUM-BFCEF5.jpg,,,,Crowned bust right,long cross fourchee over square shield,hENRIC VII DI GRA REX ANGLIE,POSVI DEV ADIVTOREM MEV,,,,,,Henry VII of England,,Groat,,English coin Late Medieval 1377 - 1489,
IOW-0F9F21,MEDIEVAL,4,,19.0,3.18,12.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/78283,8,https://finds.org.uk/images/fbasford/medium/IOW2004-169-3.JPG,IOW-0F9F21.png,,,,Bust facing crowned and diademed with two fillets at each side of the head.,Cross voided with annulet in centre; pellet between two crescents at end of each limb; pile in each angle.,WILLEMUS REX,"ELFWI ON OXEFORD, ie. Aelfwig at Oxford.",,,,,,William the Conqueror,Oxford,Penny,,Coin of Norman and Early Plantagenet England 1066-1180,
IOW-BB2EE6,MEDIEVAL,4,,18.0,0.73,4.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/185650,8,https://finds.org.uk/images/fbasford/medium/IOW2007-1-301.JPG,IOW-BB2EE6.png,,,,Crowned bust facing,Voided long cross dividing the inscription with three pellets in each quadrant,hENRICVS[...],"[...]AVD/ONL[...] (V and D ligated, O and N ligated)",,South East,,,Certain,Henry III of England,London,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
LIN-4944F5,MEDIEVAL,4,0.5,26.0,,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/81419,8,https://finds.org.uk/images/adaubney/medium/LIN1971.jpg,LIN-4944F5.jpg,,,,"Divided shield, 1 and 3 full quarters, 2 and 4 split",Ornate cross with lis at centre,KAROLVS DEI GRA BVRG Z COMES FLAND,SIT NOM[    ]EMINR BENEDICTVM,,East Midlands,,,Certain,Charles the Bold,Flanders,,,,
IOW-E6D146,MEDIEVAL,4,,16.5,0.99,4.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/231675,8,https://finds.org.uk/images/fbasford/medium/IOW2008-1-382.JPG,IOW-E6D146.png,,,,Crowned bust facing with a bifoliate crown and wedged drapery (broken pearl to left),Long cross dividing the inscription with three pellets in each quadrant,EDWAR ANG[]B,CIVI/TAS/LON/DON,,South East,,,Certain,Edward II of England,London,Penny,,English coin Edwardian type 1279 - 1377,
LEIC-2F3D14,MEDIEVAL,4,0.25,12.0,0.28,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/199509,8,https://finds.org.uk/images/wscott/medium/2F3D14.JPG,LEIC-2F3D14.png,,,,"facing crowned bust, beady eyes.",long cross and pellets,EDWARDVSREXAN?,CIVITASLONDON,,East Midlands,,,Certain,Edward III of England,London,Halfpenny,,English coin Edwardian type 1279 - 1377,
FAKL-6CC281,MEDIEVAL,4,,18.0,0.6,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/512813,8,https://finds.org.uk/images/kleahy/medium/A380.jpg,FAKL-6CC281.jpg,,,,"Crowned bust, facing",Voided long-cross,HENRIC [      },?,,Yorkshire and the Humber,,,Certain,Henry III of England,,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
FAKL-81F65D,MEDIEVAL,4,,13.8,0.51,12.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/789049,8,https://finds.org.uk/images/kleahy/medium/aWS738.jpg,FAKL-81F65D.jpg,,,,"Almost all detail lost to wear, traces of the crown survive. ClippedReverse: , inscription lost.",Long-cross with an h in the centre. clipped,Lost,Lost,,Yorkshire and the Humber,,,Certain,Henry VII of England,York,Penny,,English coin Late Medieval 1377 - 1489,
NLM-C206B2,MEDIEVAL,4,,18.1,0.53,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/124423,8,https://finds.org.uk/images/lstaves/medium/NLM10116.jpg,NLM-C206B2.jpg,,,,Crowned bust facing forward,Long cross with three pellets in each quarter,[...]HI[..]RE[.]B,[LVC E] NB GEN [SIS],,North East,,,Certain,,,Cut halfpenny,,,
IOW-FCD484,MEDIEVAL,4,,11.1,0.35,10.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/269149,8,https://finds.org.uk/images/fbasford/medium/IOW2009-1-598.JPG,IOW-FCD484.png,,,,Crowned bust facing with a bifoliate crown and wedged drapery,Long cross dividing the inscription with three pellets in each quadrant,[ ]RDVS REX A,CIVI/TAS/LON/DON,,South East,,,Certain,Edward II of England,London,Farthing,,English coin Edwardian type 1279 - 1377,
GLO-B1DA44,MEDIEVAL,4,0.7,20.0,1.23,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/121855,8,"https://finds.org.uk/images/kadams/medium/888 coin or Edward II,  889 coin of Henry IV & 890 coin Elizabeth I obverse.JPG",GLO-B1DA44.png,,,,Bust facing forward (crown 4),Long cross with three pellets in each angle,EDWA[R] ANGL DNS hYB,CIVI/[TAS]/LON/DON,,South West,,,Certain,Edward II of England,London,Penny,,English coin Edwardian type 1279 - 1377,
LEIC-3EA615,MEDIEVAL,4,0.5,17.0,1.0,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/220589,8,https://finds.org.uk/images/wscott/medium/3EA615 .JPG,LEIC-3EA615.png,,,,facing crowned bust,voided long cross and crosslets,NRICVSI,ER?WREN,,,,,,Henry III of England,,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
HAMP745,MEDIEVAL,4,,24.0,,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/1297,8,https://finds.org.uk/images/sworrell/medium/Hamp745a.jpg,HAMP745.jpg,,,,"Bust of king facing right, hair above collar",Royal shield over cross fourchee which divides legend,HENRIC VIII DI GRA AGL Z FR,POSUI DEU ADIUTORE MEU,,South East,,,Certain,Henry VIII of England,London,Groat,,,
YORYM-C864B2,MEDIEVAL,4,0.7,18.8,1.1,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/97247,8,https://finds.org.uk/images/devans/medium/claire 002.jpg,YORYM-C864B2.jpg,,,,"Crowned bust facing forwards with trefoil of pellets on breast, set in triangular border with apex pointing down, inscription around.","Long cross with 3 pellets in each quarter, inscription around.",EDW R / ANGL D/NS HYB,CIVITAS WATERFOR,,Yorkshire and the Humber,,,Certain,Edward I of England,Waterford,Penny,,English coin Edwardian type 1279 - 1377,
IOW-14B5C8,MEDIEVAL,4,,18.0,1.21,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/141980,8,https://finds.org.uk/images/fbasford/medium/IOW2006-81-2.JPG,IOW-14B5C8.png,,,,Crowned bust facing,Long cros with three pellets in each quarter,EDWR ANGL DNS HYB,VILL ABR ISTO LLIE,,South East,,,Certain,Edward I of England,Bristol,Penny,,English coin Edwardian type 1279 - 1377,
LEIC-EBCC65,MEDIEVAL,4,0.5,15.0,0.57,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/134043,8,https://finds.org.uk/images/wscott/medium/EBCC65.JPG,LEIC-EBCC65.png,,,,"facing crowned bust, distinct circles in crown.",Long cross with central quatrefoil and three large pellets in each quarter,none visible,none visible,,East Midlands,,,Certain,Henry VI of England (first reign),York,Penny,,English coin Late Medieval 1377 - 1489,
SF-8D57E4,MEDIEVAL,4,0.5,14.0,0.55,12.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/79602,8,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAUDBAQEAwUEBAQFBQUGBwwIBwcHBw8LCwkMEQ8SEhEPERETFhwXExQaFRERGCEYGh0dHx8fExciJCIeJBweHx7/2wBDAQUFBQcGBw4ICA4eFBEUHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh7/wAARCABQAFADASIAAhEBAxEB/8QAHAAAAwADAQEBAAAAAAAAAAAAAAUGAQMEAgcI/8QANRAAAgEDAwIFAgMGBwAAAAAAAQIDAAQRBRIhMUEGE1FhcYGhIjKRBxQzsfDxFSNCcoLB0f/EABkBAAMBAQEAAAAAAAAAAAAAAAADBAIBBf/EACQRAAMAAgIBAwUBAAAAAAAAAAABAgMRITEEEkFREyIyYaHw/9oADAMBAAIRAxEAPwD9l0UUUAFFFFABRRWHdUQu7BVAySTgCgDNFcVvq2m3Fql1FewtE5IVs4yRnjB5zwaVeI/E6aWIvKtXlSUZE5/hgevHJ+OKXWWJn1N8GlDb0UVFcmk38Oo2SXMTKdwG4Kc4NddbTTW0Za0BIAJJwB1NJk1+AaiLe4TyopWxDLnjPQbvTJ6V163OYLFghAdztXP3+2aj7RVuNZllkXelsQSGGfxHoD64A+1T5srmkpGRKa2y+oqbtNRubONVSL95hB2mLd/mqcZ/DnhuO3Bp295EtmlywdVdQyqy4bpnkdqbORUjLlo3yyJEheRgoHqaj9cvb++ha3mkgt7eQkcbgygDoScAknAzkUy1DTbvW442uWEcQO5U/Lj36Zz+lItZ8JS2dsJrDUJxNk5UklD9Oe1TZ6yUvtXAyFKfL5OWa3jtoXkCRxSERy7jEAdhBBUDPIzxg+mc12WswFutvq9q3+HzuAXLhwhPQnHKnPfv0OetTcF1OlrLpd5lGVgUz0RgQcfB9vmngvvP0eaIxFJZnCbwMqD16j4AqKLT6HUme7GSbwvr4tZJCbOY8HsQehH6/SvoAIIyOlRmpxRah4ZZ/wALG3AZGHOFONwHt0I+RT3wrePeaRC0rbpFUKx9xwfuDV3jv0U49u0JycrZp8RyHz0GFIiheTnoc4XkfX71N+HJH8q3jLIkt3JI7OcEqo4J9M8cfNUmuxF7twF5e1ZVPTkMv96l9FRLixtT5hhlhPmJNj8hBkzkenFLzb+r/v0aj8Ts1SN7HUIIbh/3i0uWyrlAsgKjBVsYBBDDmq5ow17GOyLwMdMf0P0qU1uGWTbPNJ5pjAMSgbUUblLcdSxAPxiqq4lWCdZW/Iy8n278dff9abh4dfHBi+kddab6MzWkkatsLLw3pW1SGUMpBB5BFar1kS0laRwihDlj24qp9C12fNPGMGy+s5gyEyLyynIYj3+a8x6nbWduksryrI4/Eka7S3qR2OcDn5rmv53vb9LWOHbHBuAwMZJPHHr049aPEemzzlLq1DTGKPZJHswyhTgkdiuc9K8Kqe6uC1LhJj7w5qMl5ZXiCBVikglYepwDx7dB0pp4Bmd45ojjapJA7jIU/wAyaQeDvMttJuZguNkBCnHIZv70+/Z/AyrdTndtLbRnvjjP2qvx6puNisiSTHerrsaC5Bx5bgP/ALSCD/PP0qWttNvUubyOC1kkhWRwG7MGGdoz1wVx/wAjVwyqy7WAYHsRWatyYVb2Jm9IR2+lzSpF58EMaAglGdnPHHPbOMjNOZY0lQo6gj+Ve6K3MKUZbbElzLcWVyYIJVIAyAxwcH26fakmp3N/dr5BvDliRhF5H9ew+tWFzawXDK0qncvRlYqf1FS+u6PNYWxuoJpLlEUowkJLKrOCTkdcDIyQeDU2eKSeuhsNbE62kMV/HpdsqwskfmOzAvgnkZwQc/HShRPaajJaTBBJHh4wCzb92MFW9DjoenPWmAhkk1EaxbxZjZQsu/KqSvAYHpjHeubUGQ3/AJpZVkdQqRr/AKVA46/Xn/qpXOltfP8ABqezXqc4trUWtuuScNlejNk4GPnnHpVj4atBZ6LbxbSrFQzZ65qW0DTn1C+Xf/ChbexHv/729s+1XY4GBVPiw23bFZX7BRRRVokKKKKACiiigDBAK7SAQexpHqnhy3u7lJoGW3PR1CZDe/8AXFPaKxcTa1SOqmujTZWsNnbiGBcKOSTyWPqT3NbqKK0lrhHD/9k=",SF-8D57E4.jpg,,,,"Crowned facing portrait, struck off-centre, appears as 'ghost' in metal discolouration on completely worn surface.","Long cross emanating from capital letter 'D' at crossing. Three pellets, large and well-separated, in quadrants. Arms of cross slender but gently expanding.",None visible,None legible,,Eastern,,,Certain,Edward IV of England (second reign),Durham,Penny,,English coin Late Medieval 1377 - 1489,
IOW-B3BEC1,MEDIEVAL,4,,17.0,0.59,12.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/148788,8,https://finds.org.uk/images/fbasford/medium/IOW2006-92-6.jpg,IOW-B3BEC1.jpg,,,,"Crowned facing head in single triangle, hand holding sceptre, cinquefoil to right",Voided long cross with three pellets in each quarter,"hENRI/CV[...], ENR ligated","[...]/ARD/OND/[...], A and R ligated, N and D ligated",,South East,,,Certain,Henry III of England,Dublin,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
FAKL-D61B03,MEDIEVAL,4,,17.0,0.53,2.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/577437,8,https://finds.org.uk/images/kleahy/medium/aSWY174.jpg,FAKL-D61B03.jpg,,,,"Crowned bust, facing with sceptre",Voided long cross,[he] NRICVS (NR ligatured),[hen/rio/] NLV/ND (NL and ND ligatured),,Yorkshire and the Humber,,,Certain,Henry III of England,London,,,English coin short and long cross period 1180 - 1278,
DENO-0955F5,MEDIEVAL,4,1.02,17.82,1.24,11.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/103192,8,https://finds.org.uk/images/ratherton/medium/E4586 hen i 1d.jpg,DENO-0955F5.jpg,,,,Crowned facing bust of king with sceptre over right shoulder. Very poorly executed bust and initial cross.,Four annulets between four piles - there is no central annulet.,+HENRI I RE (N & R ligated),+&#272;EODRIC ON LV (N & L ligated),,,,,,Henry I of England,London,Penny,,Coin of Norman and Early Plantagenet England 1066-1180,
LEIC-9910C6,MEDIEVAL,4,1.0,18.0,0.7,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/255750,8,https://finds.org.uk/images/wscott/medium/9910C6.JPG,LEIC-9910C6.png,,,,facing crowned bust with sceptre,voided long cross,EX HENR,NICOLE,,,,,,Henry III of England,,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
BH-D6901D,MEDIEVAL,4,,16.2,0.59,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/771979,8,https://finds.org.uk/images/jwatters/medium/Med_coin_16_10_40.jpg,BH-D6901D.jpg,,,,Crowned bust,Long cross; three pellets in each field,EDWARDVS REX AII *,CIVITAS *  LONDON,,Eastern,,,Certain,Edward III of England,,Halfpenny,,English coin Edwardian type 1279 - 1377,
SUSS-0177B7,MEDIEVAL,4,0.62,18.91,0.63,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/135003,8,https://finds.org.uk/images/lwilson/medium/1-157k.jpg,SUSS-0177B7.jpg,,,,"Bust facing right, crowned and diademed, holding sceptre in right hand.",Cross moline with a fleur in each angle.,+E[---]R[--],h[-----],,South East,,,Certain,Stephen of England,,Halfpenny,,Coin of Norman and Early Plantagenet England 1066-1180,
GLO-9DED31,MEDIEVAL,4,0.7,19.5,1.37,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/87011,8,https://finds.org.uk/images/kadams/medium/455 coin obverse.jpg,GLO-9DED31.jpg,,,,"Bust facing forward. large cresent on either side that represents hair, eyes are annular.","Short cross voided, with four pellets in each angle.",HENRICUS REX,MEINIR ON CAN,,South West,,,Certain,John of England,Canterbury,Penny,,English coin short and long cross period 1180 - 1278,
LVPL-D83527,MEDIEVAL,4,0.72,20.53,1.5,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/465323,8,https://finds.org.uk/images/voakden/medium/LVPL-D83527.jpg,LVPL-D83527.jpg,,,,"Christ, nimbate, standing facing, raising hands in benediction; IC XC flanking head, pellets to either side.","Ivan and Mihail standing facing, each holding scepter; banner between, stars flanking shaft.",,,,,,,,,,Grosso,,Non English coin,
BUC-14DCF2,MEDIEVAL,4,,18.0,0.8,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/68466,8,https://finds.org.uk/images/rtyrrell/medium/17.jpg,BUC-14DCF2.jpg,,,,"Full faced king's head, with a mullet to the left of the crown and lis to the left.",A long cross with a quatrefoil in the centre and three pellets in each quadrant,,[...] EB [...],,South East,,,Certain,Henry V of England,York,Penny,,English coin Late Medieval 1377 - 1489,
WAW-AD9CF5,MEDIEVAL,4,,,0.56,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/75020,8,https://finds.org.uk/images/abolton/medium/WAW-AD9CF5.jpg,WAW-AD9CF5.jpg,,,,Bust facing forwards.,Long cross with three pellets in each quarter.,ED[     ]VS REX AN,CIVI / TAS / [  ]N / DON,,South West,,,Certain,Edward II of England,London,Halfpenny,,English coin Edwardian type 1279 - 1377,
FAKL-C42423,MEDIEVAL,4,,17.7,0.66,8.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/453455,8,https://finds.org.uk/images/kleahy/medium/236.jpg,FAKL-C42423.jpg,,,,Crowned bust facing,Short cross,H [enric] REX,FILAIME [on lund],,Yorkshire and the Humber,,,Certain,Henry II of England,London,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
IOW-470C72,MEDIEVAL,4,,10.0,0.26,4.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/200731,8,https://finds.org.uk/images/fbasford/medium/IOW2007-10-145.JPG,IOW-470C72.png,,,,Crowned bust facing,Long cross dividing the inscription with three pellets in each quadrant,]AN GLIE,VILL/[]/ISTO/LLIE,,South East,,,Certain,Edward I of England,Bristol,Farthing,,English coin Edwardian type 1279 - 1377,
NLM-4DABE6,MEDIEVAL,4,,18.9,1.14,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/71020,8,https://finds.org.uk/images/lstaves/medium/NLM07944.jpg,NLM-4DABE6.jpg,,,,Bust facing crowned and diademed within a canopy of two columns,"Double quadrilateral with incurved sides, fluery at Angles; Annulet in centre",WILLWMVS REX,MANNA ON STOTI,,East Midlands,,,Certain,William the Conqueror,Nottingham,Penny,,Coin of Norman and Early Plantagenet England 1066-1180,
